graph_id,vertices,edges,algorithm,total_cost,operations_count,execution_time_ms
1,4,4,prim,7,12,0.0498
1,4,4,kruskal,7,24,1.6514
2,5,6,prim,14,24,0.0303
2,5,6,kruskal,14,31,0.018799
3,5,7,prim,11,28,0.0252
3,5,7,kruskal,11,31,0.0232
4,6,8,prim,15,40,0.0179
4,6,8,kruskal,15,40,0.0111
5,6,9,prim,16,45,0.0154
5,6,9,kruskal,16,47,0.0118
6,10,12,prim,35,108,0.0452
6,10,12,kruskal,35,88,0.0211
7,11,14,prim,37,140,0.052001
7,11,14,kruskal,37,92,0.0215
8,12,16,prim,37,176,0.059101
8,12,16,kruskal,37,96,0.0276
9,13,17,prim,43,204,0.0583
9,13,17,kruskal,43,109,0.035699
10,15,20,prim,48,280,0.064801
10,15,20,kruskal,48,156,0.0448
11,20,27,prim,72,513,0.1109
11,20,27,kruskal,72,210,0.0701
12,21,28,prim,74,560,0.117999
12,21,28,kruskal,74,216,0.031601
13,22,29,prim,83,609,0.1653
13,22,29,kruskal,83,259,0.0516
14,23,29,prim,17,174,0.0438
14,23,29,kruskal,74,244,0.0329
15,24,39,prim,73,897,0.1752
15,24,39,kruskal,73,262,0.0742
